grade,gene,Gene description,Phenotype description
48,ITGB2,integrin subunit beta 2 ,Leukocyte adhesion deficiency type I
48,WDR45B,WD repeat domain 45B ,NEURODEVELOPMENTAL DISORDER WITH SPASTIC QUADRIPLEGIA AND BRAIN ABNORMALITIES WITH OR WITHOUT SEIZURES
48,PADI3,peptidyl arginine deiminase 3 ,UNCOMBABLE HAIR SYNDROME
48,TAS1R3,taste 1 receptor member 3 ,
48,ISYNA1,inositol-3-phosphate synthase 1 ,
48,DNAJB5,DnaJ heat shock protein family (Hsp40) member B5 ,
48,PID1,phosphotyrosine interaction domain containing 1 ,
48,SST,somatostatin ,
48,SEC62,"""SEC62 homolog"," preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]"""
48,ZNF440,zinc finger protein 440 ,
48,ZNF337,zinc finger protein 337 ,
48,LRRC10B,leucine rich repeat containing 10B ,
48,EDEM1,ER degradation enhancing alpha-mannosidase like protein 1 ,
48,FOXE3,forkhead box E3 ,Anterior segment developmental anomaly
48,LRBA,LPS responsive beige-like anchor protein ,Combined immunodeficiency due to LRBA deficiency
48,CHMP7,charged multivesicular body protein 7 ,
48,PTGER4,prostaglandin E receptor 4 ,
48,LTN1,listerin E3 ubiquitin protein ligase 1 ,
48,PPP1R18,protein phosphatase 1 regulatory subunit 18 ,
48,SLC1A7,solute carrier family 1 member 7 ,
48,MPPE1,metallophosphoesterase 1 ,
48,TMX2,thioredoxin related transmembrane protein 2 ,NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY CORTICAL MALFORMATIONS AND SPASTICITY
48,ITGA11,integrin subunit alpha 11 ,
48,TBC1D3I,TBC1 domain family member 3I ,
48,ZBTB10,zinc finger and BTB domain containing 10 ,
48,ANO6,anoctamin 6 ,SCOTT SYNDROME
48,ABITRAM,actin binding transcription modulator ,
48,TMEM54,transmembrane protein 54 ,
48,IMPACT,impact RWD domain protein ,
48,IL10RA,interleukin 10 receptor subunit alpha ,Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome
48,ZNF814,zinc finger protein 814 ,
48,POLR2K,"""RNA polymerase II"," I and III subunit K [Source:HGNC Symbol;Acc:HGNC:9198]"""
48,MTNR1B,melatonin receptor 1B ,TYPE 2 DIABETES MELLITUS
48,LYPD5,LY6/PLAUR domain containing 5 ,
48,DEGS2,"""delta 4-desaturase"," sphingolipid 2 [Source:HGNC Symbol;Acc:HGNC:20113]"""
48,YRDC,yrdC N6-threonylcarbamoyltransferase domain containing ,
48,,aquaporin 7 (AQP7) pseudogene,
48,UBXN1,UBX domain protein 1 ,
48,AVEN,apoptosis and caspase activation inhibitor ,
48,NREP,neuronal regeneration related protein ,
48,ITFG2,integrin alpha FG-GAP repeat containing 2 ,
48,GOLGA3,golgin A3 ,
48,TINF2,TERF1 interacting nuclear factor 2 ,Dyskeratosis congenita
48,,novel protein,
48,SOHLH1,spermatogenesis and oogenesis specific basic helix-loop-helix 1 ,Male infertility with azoospermia or oligozoospermia due to single gene mutation
48,TRIM62,tripartite motif containing 62 ,
48,RPS6KA6,ribosomal protein S6 kinase A6 ,
48,MARCHF10,membrane associated ring-CH-type finger 10 ,
48,ASAH2B,N-acylsphingosine amidohydrolase 2B ,
48,JUP,junction plakoglobin ,Familial isolated arrhythmogenic ventricular dysplasia biventricular form
48,HMCES,"""5-hydroxymethylcytosine binding"," ES cell specific [Source:HGNC Symbol;Acc:HGNC:24446]"""
48,TRIM41,tripartite motif containing 41 ,
48,PLCG2,phospholipase C gamma 2 ,Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation
48,NUP85,nucleoporin 85 ,Genetic steroid-resistant nephrotic syndrome
48,TBC1D15,TBC1 domain family member 15 ,
48,LPIN2,lipin 2 ,MAJEED SYNDROME
48,KLHL22,kelch like family member 22 ,
48,EPM2AIP1,EPM2A interacting protein 1 ,
48,FBXO9,F-box protein 9 ,
48,SIGLEC12,sialic acid binding Ig like lectin 12 ,
48,SMURF1,SMAD specific E3 ubiquitin protein ligase 1 ,
48,PRMT5,protein arginine methyltransferase 5 ,
48,CYS1,cystin 1 ,
48,TRIM25,tripartite motif containing 25 ,
48,MYO1A,myosin IA ,Autosomal dominant non-syndromic sensorineural deafness type DFNA
48,CCDC113,coiled-coil domain containing 113 ,
48,ZNF519,zinc finger protein 519 ,
48,TREX1,three prime repair exonuclease 1 ,Aicardi-Goutieres syndrome
48,ATG10,autophagy related 10 ,
48,,TEC,
48,GTF3C5,general transcription factor IIIC subunit 5 ,
48,QKI,"""QKI"," KH domain containing RNA binding [Source:HGNC Symbol;Acc:HGNC:21100]"""
48,TPH1,tryptophan hydroxylase 1 ,
48,EFEMP1,EGF containing fibulin extracellular matrix protein 1 ,Familial drusen
48,EHMT2,euchromatic histone lysine methyltransferase 2 ,
48,RAB3GAP1,RAB3 GTPase activating protein catalytic subunit 1 ,Cataract-intellectual disability-hypogonadism syndrome
48,SLC16A1,solute carrier family 16 member 1 ,Exercise-induced hyperinsulinism
48,ARL5A,ADP ribosylation factor like GTPase 5A ,
48,TP53I13,tumor protein p53 inducible protein 13 ,
48,SCML2,Scm polycomb group protein like 2 ,
48,SH2D1B,SH2 domain containing 1B ,
48,HOATZ,HOATZ cilia and flagella associated protein ,
48,MYO1E,myosin IE ,Genetic steroid-resistant nephrotic syndrome
48,NMUR1,neuromedin U receptor 1 ,
48,CYLC1,cylicin 1 ,
48,PCDHB1,protocadherin beta 1 ,
48,NRP2,neuropilin 2 ,
48,JPH4,junctophilin 4 ,
48,ICMT,isoprenylcysteine carboxyl methyltransferase ,
48,EPAS1,endothelial PAS domain protein 1 ,Autosomal dominant secondary polycythemia
48,BPHL,biphenyl hydrolase like ,
48,IRF8,interferon regulatory factor 8 ,Mendelian susceptibility to mycobacterial diseases due to partial IRF8 deficiency
48,PKDREJ,polycystin family receptor for egg jelly ,
48,RIMBP2,RIMS binding protein 2 ,
48,RUSC1,RUN and SH3 domain containing 1 ,
48,CILP,cartilage intermediate layer protein ,INTERVERTEBRAL DISC DISEASE
48,ITGB6,integrin subunit beta 6 ,Alopecia-intellectual disability syndrome
48,SEPHS1,selenophosphate synthetase 1 ,
48,,novel protein,
48,ZNF234,zinc finger protein 234 ,
48,CHN1,chimerin 1 ,Duane retraction syndrome
48,ZP4,zona pellucida glycoprotein 4 ,
48,LYPD1,LY6/PLAUR domain containing 1 ,
48,DNAH9,dynein axonemal heavy chain 9 ,Primary ciliary dyskinesia
48,SORCS1,sortilin related VPS10 domain containing receptor 1 ,
48,,leucine rich transmembrane and O-methyltransferase domain containing ,DEAFNESS AUTOSOMAL RECESSIVE 63
48,KHDRBS2,"""KH RNA binding domain containing"," signal transduction associated 2 [Source:HGNC Symbol;Acc:HGNC:18114]"""
48,STEAP1B,STEAP family member 1B ,
48,C1orf210,chromosome 1 open reading frame 210 ,
48,CDC25B,cell division cycle 25B ,
48,TCTN3,tectonic family member 3 ,Orofaciodigital syndrome type 4
48,NAA35,"""N-alpha-acetyltransferase 35"," NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:24340]"""
48,CD109,CD109 molecule ,Fetal and neonatal alloimmune thrombocytopenia
48,MTMR2,myotubularin related protein 2 ,CHARCOT-MARIE-TOOTH DISEASE TYPE 4B1
48,GCLM,glutamate-cysteine ligase modifier subunit ,MYOCARDIAL INFARCTION SUSCEPTIBILITY TO MYOCARDIAL INFARCTION SUSCEPTIBILITY TO 1 INCLUDED
48,NT5DC3,5'-nucleotidase domain containing 3 ,
48,BTG3,BTG anti-proliferation factor 3 ,
48,AKAP9,A-kinase anchoring protein 9 ,Brugada syndrome
48,SHTN1,shootin 1 ,
48,ZNF157,zinc finger protein 157 ,
48,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like ,Autosomal dominant Opitz G/BBB syndrome
48,ZNFX1,zinc finger NFX1-type containing 1 ,
47,RGS17,regulator of G protein signaling 17 ,
47,ASCL1,achaete-scute family bHLH transcription factor 1 ,Haddad syndrome
47,EPS8L2,EPS8 like 2 ,Autosomal recessive non-syndromic sensorineural deafness type DFNB
47,MPL,"""MPL proto-oncogene"," thrombopoietin receptor [Source:HGNC Symbol;Acc:HGNC:7217]"""
47,CLK1,CDC like kinase 1 ,
47,LRP6,LDL receptor related protein 6 ,NON RARE IN EUROPE: Metabolic syndrome
47,SLC30A10,solute carrier family 30 member 10 ,Cirrhosis-dystonia-polycythemia-hypermanganesemia syndrome
47,MRC2,mannose receptor C type 2 ,
47,,TEC,
47,CDC42BPB,CDC42 binding protein kinase beta ,CDC42BPB-related Neurodevelopmental Disorder
47,H2BU1,H2B.U histone 1 ,
47,MYT1,myelin transcription factor 1 ,OAVS/Goldenhar syndrome
47,BCOR,BCL6 corepressor ,ACUTE PROMYELOCYTIC LEUKEMIA
47,IL22RA1,interleukin 22 receptor subunit alpha 1 ,
47,DENND2C,DENN domain containing 2C ,
47,P2RX4,purinergic receptor P2X 4 ,
47,SIGLEC6,sialic acid binding Ig like lectin 6 ,
47,ABHD17C,"""abhydrolase domain containing 17C"," depalmitoylase [Source:HGNC Symbol;Acc:HGNC:26925]"""
47,KALRN,kalirin RhoGEF kinase ,
47,CXCL2,C-X-C motif chemokine ligand 2 ,
47,MTOR,mechanistic target of rapamycin kinase ,Isolated focal cortical dysplasia type IIa
47,DNM3,dynamin 3 ,
47,STOM,stomatin ,
47,SGCA,sarcoglycan alpha ,Alpha-sarcoglycan-related  limb-girdle muscular dystrophy R3
47,SEC24D,"""SEC24 homolog D"," COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]"""
47,AWAT1,acyl-CoA wax alcohol acyltransferase 1 ,
47,SVEP1,"""sushi", von Willebrand factor type A
47,,TEC,
47,CDHR5,cadherin related family member 5 ,
47,CREB3L3,cAMP responsive element binding protein 3 like 3 ,
47,PFDN5,prefoldin subunit 5 ,
47,RSL1D1,ribosomal L1 domain containing 1 ,
47,GLT8D2,glycosyltransferase 8 domain containing 2 ,
47,CHAT,choline O-acetyltransferase ,Presynaptic congenital myasthenic syndromes
47,CNGB1,cyclic nucleotide gated channel subunit beta 1 ,Retinitis pigmentosa
47,UHRF1,ubiquitin like with PHD and ring finger domains 1 ,
47,ATG16L1,autophagy related 16 like 1 ,NON RARE IN EUROPE: Crohn disease
47,FAM219B,family with sequence similarity 219 member B ,
47,GLRA3,glycine receptor alpha 3 ,
47,TNIP1,TNFAIP3 interacting protein 1 ,Systemic lupus erythematosus
47,GRAMD4,GRAM domain containing 4 ,
47,TMEM108,transmembrane protein 108 ,
47,DYRK4,dual specificity tyrosine phosphorylation regulated kinase 4 ,
47,KLK11,kallikrein related peptidase 11 ,
47,PURB,purine rich element binding protein B ,
47,SORCS3,sortilin related VPS10 domain containing receptor 3 ,
47,OR10H2,olfactory receptor family 10 subfamily H member 2 ,
47,PACSIN3,protein kinase C and casein kinase substrate in neurons 3 ,
47,PRRT4,proline rich transmembrane protein 4 ,
47,UBA5,ubiquitin like modifier activating enzyme 5 ,Undetermined early-onset epileptic encephalopathy
47,TRMT2B,tRNA methyltransferase 2 homolog B ,
47,LRRC6,leucine rich repeat containing 6 ,Primary ciliary dyskinesia
47,SGF29,SAGA complex associated factor 29 ,
47,TRMT5,tRNA methyltransferase 5 ,Combined oxidative phosphorylation defect type 26
47,GJA5,gap junction protein alpha 5 ,Familial atrial fibrillation
47,COMMD2,COMM domain containing 2 ,
47,CCDC178,coiled-coil domain containing 178 ,
47,SCD5,stearoyl-CoA desaturase 5 ,DEAFNESS AUTOSOMAL DOMINANT 79
47,PEAR1,platelet endothelial aggregation receptor 1 ,
47,NDRG2,NDRG family member 2 ,
47,WDR93,WD repeat domain 93 ,
47,ACIN1,apoptotic chromatin condensation inducer 1 ,
47,USP24,ubiquitin specific peptidase 24 ,
47,NFATC3,nuclear factor of activated T cells 3 ,
47,EPN3,epsin 3 ,
47,CDC42SE1,CDC42 small effector 1 ,
47,MYOM1,myomesin 1 ,
47,PDE6C,phosphodiesterase 6C ,Achromatopsia
47,C6orf141,chromosome 6 open reading frame 141 ,
47,FOXN3,forkhead box N3 ,
47,KIF21A,kinesin family member 21A ,Congenital fibrosis of extraocular muscles
47,C9orf85,chromosome 9 open reading frame 85 ,
47,PRSS46P,"""serine protease 46"," pseudogene [Source:HGNC Symbol;Acc:HGNC:37325]"""
47,CD3G,CD3g molecule ,Combined immunodeficiency due to CD3gamma deficiency
47,MCM5,minichromosome maintenance complex component 5 ,MEIER-GORLIN SYNDROME 8
47,PHOSPHO1,phosphoethanolamine/phosphocholine phosphatase 1 ,
47,KRTAP12-2,keratin associated protein 12-2 ,
47,TAF2,TATA-box binding protein associated factor 2 ,Microcephaly-thin corpus callosum-intellectual disability syndrome
47,ZNF418,zinc finger protein 418 ,
47,FGFR1OP2,FGFR1 oncogene partner 2 ,
47,SPTAN1,"""spectrin alpha"," non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]"""
47,ZNF319,zinc finger protein 319 ,
47,ZNF93,zinc finger protein 93 ,
47,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha ,Precursor B-cell acute lymphoblastic leukemia
47,INSL3,insulin like 3 ,Cryptorchidism unilateral or bilateral
47,PAOX,polyamine oxidase ,
47,CD86,CD86 molecule ,
47,TEX13B,testis expressed 13B ,
47,FGF1,fibroblast growth factor 1 ,
47,RNF123,ring finger protein 123 ,
47,PROC,"""protein C"," inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]"""
47,EGFL6,EGF like domain multiple 6 ,
47,ZNF330,zinc finger protein 330 ,
47,ZNRF1,zinc and ring finger 1 ,
47,TP53I11,tumor protein p53 inducible protein 11 ,
47,CABLES1,Cdk5 and Abl enzyme substrate 1 ,
47,MLLT3,MLLT3 super elongation complex subunit ,Acute myeloid leukemia with t9
47,ACSM2A,acyl-CoA synthetase medium chain family member 2A ,
47,PLEKHG7,pleckstrin homology and RhoGEF domain containing G7 ,
47,CDKN2AIPNL,CDKN2A interacting protein N-terminal like ,
47,CIRBP,cold inducible RNA binding protein ,
47,DHFR2,dihydrofolate reductase 2 ,
47,LURAP1L,leucine rich adaptor protein 1 like ,
47,IL9R,interleukin 9 receptor ,
47,KRT73,keratin 73 ,
47,MAGIX,"""MAGI family member"," X-linked [Source:HGNC Symbol;Acc:HGNC:30006]"""
47,,novel transcript,
47,KIN,Kin17 DNA and RNA binding protein ,
47,BEND4,BEN domain containing 4 ,
47,NUP155,nucleoporin 155 ,Familial atrial fibrillation
47,PODNL1,podocan like 1 ,
47,ANKRD16,ankyrin repeat domain 16 ,
47,SNRK,SNF related kinase ,
47,LRRC10,leucine rich repeat containing 10 ,
47,RASSF8,Ras association domain family member 8 ,
47,GPR176,G protein-coupled receptor 176 ,
47,OR13J1,olfactory receptor family 13 subfamily J member 1 ,
47,KDM7A,lysine demethylase 7A ,
47,ZNF20,zinc finger protein 20 ,
47,RFC5,replication factor C subunit 5 ,
47,XPO7,exportin 7 ,
47,OCRL,OCRL inositol polyphosphate-5-phosphatase ,Dent disease type 2
47,NCF1,neutrophil cytosolic factor 1 ,Chronic granulomatous disease
47,GFRA3,GDNF family receptor alpha 3 ,
47,ZC3H4,zinc finger CCCH-type containing 4 ,
47,SHISA4,shisa family member 4 ,
47,SYK,spleen associated tyrosine kinase ,
47,DOCK1,dedicator of cytokinesis 1 ,
47,HK2,hexokinase 2 ,
47,GNAQ,G protein subunit alpha q ,Familial multiple nevi flammei
47,OSBPL6,oxysterol binding protein like 6 ,
47,TNFRSF1A,TNF receptor superfamily member 1A ,Intermittent hydrarthrosis
47,ZNF449,zinc finger protein 449 ,
47,QSER1,glutamine and serine rich 1 ,
47,JPT1,Jupiter microtubule associated homolog 1 ,
47,RHD,Rh blood group D antigen ,Rh deficiency syndrome
47,BTBD3,BTB domain containing 3 ,
47,HADH,hydroxyacyl-CoA dehydrogenase ,Hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency
47,METAP1,methionyl aminopeptidase 1 ,
47,NKX3-1,NK3 homeobox 1 ,
47,ISLR2,immunoglobulin superfamily containing leucine rich repeat 2 ,
47,VHL,von Hippel-Lindau tumor suppressor ,Chuvash erythrocytosis
47,,novel protein,
47,OMA1,OMA1 zinc metallopeptidase ,
47,ALG11,"""ALG11 alpha-1","2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:32456]"""
47,CLCN6,chloride voltage-gated channel 6 ,CLCN6-related Developmental Disorder
47,SCRN2,secernin 2 ,
47,CST7,cystatin F ,
47,TMPRSS4,transmembrane serine protease 4 ,Autosomal recessive cerebral atrophy
47,RBBP9,"""RB binding protein 9"," serine hydrolase [Source:HGNC Symbol;Acc:HGNC:9892]"""
47,CPSF6,cleavage and polyadenylation specific factor 6 ,
47,CMC1,C-X9-C motif containing 1 ,
47,ZNF430,zinc finger protein 430 ,
47,ARHGAP4,Rho GTPase activating protein 4 ,
47,AKIP1,A-kinase interacting protein 1 ,
47,KIT,"""KIT proto-oncogene"," receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]"""
47,TBL1Y,transducin beta like 1 Y-linked ,Deafness Y-linked 2
47,SLCO2B1,solute carrier organic anion transporter family member 2B1 ,
47,C11orf45,chromosome 11 open reading frame 45 ,
47,SSH2,slingshot protein phosphatase 2 ,
47,RSPH10B2,radial spoke head 10 homolog B2 ,
47,KRT26,keratin 26 ,
47,DPP3,dipeptidyl peptidase 3 ,
47,STRN3,striatin 3 ,
47,NKX6-2,NK6 homeobox 2 ,NKX6-2-related autosomal recessive hypomyelinating leukodystrophy
47,CST3,cystatin C ,ACys amyloidosis
47,ZNF787,zinc finger protein 787 ,
47,DNAJC28,DnaJ heat shock protein family (Hsp40) member C28 ,
47,SRPK1,SRSF protein kinase 1 ,
47,RCOR1,REST corepressor 1 ,
47,NEGR1,neuronal growth regulator 1 ,
47,EXOC1,exocyst complex component 1 ,
47,NCOA2,nuclear receptor coactivator 2 ,
47,SPRING1,SREBF pathway regulator in golgi 1 ,
47,VPS37C,VPS37C subunit of ESCRT-I ,
47,CCDC12,coiled-coil domain containing 12 ,
47,GLYCTK,glycerate kinase ,D-GLYCERIC ACIDURIA
47,ARMH4,armadillo like helical domain containing 4 ,
47,FANCF,FA complementation group F ,Fanconi anemia
47,MICAL3,"""microtubule associated monooxygenase"," calponin and LIM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24694]"""
47,UPP2,uridine phosphorylase 2 ,
47,MFAP4,microfibril associated protein 4 ,
47,LCE5A,late cornified envelope 5A ,
47,HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2 ,Developmental delay with autism spectrum disorder and gait instability
47,CCND1,cyclin D1 ,B-cell chronic lymphocytic leukemia
47,APOBEC3D,apolipoprotein B mRNA editing enzyme catalytic subunit 3D ,
47,PLAAT3,phospholipase A and acyltransferase 3 ,
47,GDAP1,ganglioside induced differentiation associated protein 1 ,Autosomal dominant Charcot-Marie-Tooth disease type 2K
47,LEO1,"""LEO1 homolog"," Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:30401]"""
47,C2orf68,chromosome 2 open reading frame 68 ,
47,ALG9,"""ALG9 alpha-1","2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:15672]"""
47,NUDT12,nudix hydrolase 12 ,
47,MRPL51,mitochondrial ribosomal protein L51 ,
47,RIPK1,receptor interacting serine/threonine kinase 1 ,Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome
47,CDH24,cadherin 24 ,
47,UBE3C,ubiquitin protein ligase E3C ,
47,TBC1D3F,TBC1 domain family member 3F ,
47,RIPK2,receptor interacting serine/threonine kinase 2 ,
47,PIK3R2,phosphoinositide-3-kinase regulatory subunit 2 ,Megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome
47,CA10,carbonic anhydrase 10 ,
47,TMEM141,transmembrane protein 141 ,
47,ZNF208,zinc finger protein 208 ,
47,STYK1,serine/threonine/tyrosine kinase 1 ,
47,ZFP64,ZFP64 zinc finger protein ,
47,TMED10,transmembrane p24 trafficking protein 10 ,
47,SLC22A13,solute carrier family 22 member 13 ,
47,SDK1,sidekick cell adhesion molecule 1 ,
47,DOT1L,DOT1 like histone lysine methyltransferase ,
47,CYB561D2,cytochrome b561 family member D2 ,
47,PACSIN1,protein kinase C and casein kinase substrate in neurons 1 ,
47,RELA,"""RELA proto-oncogene"," NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]"""
47,ZNF211,zinc finger protein 211 ,
47,GGNBP2,gametogenetin binding protein 2 ,
47,MAPT,microtubule associated protein tau ,Behavioral variant of frontotemporal dementia
47,MORF4L2,mortality factor 4 like 2 ,
47,HCRTR1,hypocretin receptor 1 ,
47,FAM177B,family with sequence similarity 177 member B ,
47,CAMSAP1,calmodulin regulated spectrin associated protein 1 ,
47,TNFRSF19,TNF receptor superfamily member 19 ,
47,DCTPP1,dCTP pyrophosphatase 1 ,
47,FBXL13,F-box and leucine rich repeat protein 13 ,
47,TBX6,T-box transcription factor 6 ,Autosomal dominant spondylocostal dysostosis
47,PDLIM4,PDZ and LIM domain 4 ,OSTEOPOROSIS
47,ARL6IP1,ADP ribosylation factor like GTPase 6 interacting protein 1 ,Autosomal recessive spastic paraplegia type 61
47,HS3ST4,heparan sulfate-glucosamine 3-sulfotransferase 4 ,
47,APOBR,apolipoprotein B receptor ,
47,GRHL1,grainyhead like transcription factor 1 ,
47,RGPD8,RANBP2 like and GRIP domain containing 8 ,
47,ACACA,acetyl-CoA carboxylase alpha ,ACETYL-CoA CARBOXYLASE DEFICIENCY
47,USP43,ubiquitin specific peptidase 43 ,
47,FAXDC2,fatty acid hydroxylase domain containing 2 ,
47,ENKUR,"""enkurin"," TRPC channel interacting protein [Source:HGNC Symbol;Acc:HGNC:28388]"""
47,CDK12,cyclin dependent kinase 12 ,
47,RNF38,ring finger protein 38 ,
47,ZMPSTE24,zinc metallopeptidase STE24 ,HUTCHINSON-GILFORD PROGERIA SYNDROME
47,KCNIP1,potassium voltage-gated channel interacting protein 1 ,
47,WNK1,WNK lysine deficient protein kinase 1 ,Hereditary sensory and autonomic neuropathy type 2
47,POLK,DNA polymerase kappa ,
47,AFF3,AF4/FMR2 family member 3 ,Skeletal dysplasia with severe neurological disease
47,MRPS11,mitochondrial ribosomal protein S11 ,
47,HIP1R,huntingtin interacting protein 1 related ,
47,DGCR6,DiGeorge syndrome critical region gene 6 ,VELOCARDIOFACIAL SYNDROME
47,CDC25A,cell division cycle 25A ,
47,LHX6,LIM homeobox 6 ,
47,LOXL3,lysyl oxidase like 3 ,Autosomal recessive Stickler syndrome
47,SRP19,signal recognition particle 19 ,
47,F8,coagulation factor VIII ,Mild hemophilia A
47,INPP5K,inositol polyphosphate-5-phosphatase K ,Marinesco-Sjogren syndrome
47,KCNA7,potassium voltage-gated channel subfamily A member 7 ,
47,PRAMEF8,PRAME family member 8 ,
47,PLXNB1,plexin B1 ,
47,BTNL3,butyrophilin like 3 ,
47,MEGF10,multiple EGF like domains 10 ,Early-onset myopathy-areflexia-respiratory distress-dysphagia syndrome
47,TMEM139,transmembrane protein 139 ,
47,RIMBP3B,RIMS binding protein 3B ,
47,SEPTIN6,septin 6 ,
47,ACOT13,acyl-CoA thioesterase 13 ,
47,ARRDC4,arrestin domain containing 4 ,
47,PARP14,poly(ADP-ribose) polymerase family member 14 ,
47,PAAF1,proteasomal ATPase associated factor 1 ,
47,WDR36,WD repeat domain 36 ,NON RARE IN EUROPE: Primary adult open-angle glaucoma
47,SLC9A3R2,SLC9A3 regulator 2 ,
47,SLC9A7,solute carrier family 9 member A7 ,X-linked non-syndromic intellectual disability
47,NLN,neurolysin ,
47,FAM107A,family with sequence similarity 107 member A ,
47,RCAN1,regulator of calcineurin 1 ,
47,ZMYM2,zinc finger MYM-type containing 2 ,ZMYM2-related developmental disorder monoallelic
47,ISY1-RAB43,ISY1-RAB43 readthrough ,
47,TTC21B,tetratricopeptide repeat domain 21B ,Infantile nephronophthisis
47,CHMP2B,charged multivesicular body protein 2B ,Amyotrophic lateral sclerosis
47,PAN3,poly(A) specific ribonuclease subunit PAN3 ,
47,VPS18,VPS18 core subunit of CORVET and HOPS complexes ,
47,ALDOC,"""aldolase"," fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]"""
47,GRB10,growth factor receptor bound protein 10 ,
47,SEMA7A,semaphorin 7A (John Milton Hagen blood group) ,BLOOD GROUP JOHN MILTON HAGEN SYSTEM
47,PAX5,paired box 5 ,Precursor B-cell acute lymphoblastic leukemia
47,HAO2,hydroxyacid oxidase 2 ,
47,CDK15,cyclin dependent kinase 15 ,
47,ST6GALNAC6,"""ST6 N-acetylgalactosaminide alpha-2","6-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:23364]"""
47,PARD6A,par-6 family cell polarity regulator alpha ,
47,RNF2,ring finger protein 2 ,
47,CENPP,centromere protein P ,
47,INPP5E,inositol polyphosphate-5-phosphatase E ,Joubert Syndrome
47,LGSN,"""lengsin"," lens protein with glutamine synthetase domain [Source:HGNC Symbol;Acc:HGNC:21016]"""
47,PROSER3,proline and serine rich 3 ,
47,CANT1,calcium activated nucleotidase 1 ,Desbuquois syndrome
47,CLASP1,cytoplasmic linker associated protein 1 ,
47,NEK1,NIMA related kinase 1 ,Amyotrophic lateral sclerosis
47,NPAT,"""nuclear protein"," coactivator of histone transcription [Source:HGNC Symbol;Acc:HGNC:7896]"""
47,MTX1,metaxin 1 ,
47,,novel protein,
47,PHOX2B,paired like homeobox 2B ,Haddad syndrome
47,PLEKHA5,pleckstrin homology domain containing A5 ,
47,GDF6,growth differentiation factor 6 ,Colobomatous microphthalmia
47,TCERG1,transcription elongation regulator 1 ,
47,KDM8,lysine demethylase 8 ,
47,ZNF641,zinc finger protein 641 ,
47,RTL10,retrotransposon Gag like 10 ,
47,KRT75,keratin 75 ,PSEUDOFOLLICULITIS BARBAE
47,TMPPE,transmembrane protein with metallophosphoesterase domain ,
47,MAPK8IP2,mitogen-activated protein kinase 8 interacting protein 2 ,
47,PITPNM3,PITPNM family member 3 ,Cone rod dystrophy
47,BICD1,BICD cargo adaptor 1 ,
47,VPS51,VPS51 subunit of GARP complex ,PONTOCEREBELLAR HYPOPLASIA TYPE 13
47,SFTPA1,surfactant protein A1 ,Idiopathic pulmonary fibrosis
47,PFDN1,prefoldin subunit 1 ,
47,SNX14,sorting nexin 14 ,Intellectual disability-coarse face-macrocephaly-cerebellar hypotrophy syndrome
47,CNN1,calponin 1 ,
47,PARVB,parvin beta ,
47,PRPF8,pre-mRNA processing factor 8 ,Retinitis pigmentosa
47,LMX1A,LIM homeobox transcription factor 1 alpha ,DEAFNESS AUTOSOMAL DOMINANT 7
47,VEGFD,vascular endothelial growth factor D ,
47,EOGT,EGF domain specific O-linked N-acetylglucosamine transferase ,Adams-Oliver syndrome
47,CCN4,cellular communication network factor 4 ,
47,DCTN5,dynactin subunit 5 ,
47,RABEPK,Rab9 effector protein with kelch motifs ,
47,TPGS2,tubulin polyglutamylase complex subunit 2 ,
47,XPO6,exportin 6 ,
47,TMEM127,transmembrane protein 127 ,Clear cell renal carcinoma
47,NAA15,"""N-alpha-acetyltransferase 15"," NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:30782]"""
47,MAP3K20,mitogen-activated protein kinase kinase kinase 20 ,Congenital fiber-type disproportion myopathy
47,CBLL2,Cbl proto-oncogene like 2 ,
47,TVP23A,trans-golgi network vesicle protein 23 homolog A ,
47,IRF1,interferon regulatory factor 1 ,
47,,novel transcript,
47,INO80,INO80 complex ATPase subunit ,
47,TFEB,transcription factor EB ,MiT family translocation renal cell carcinoma
